id,index,section,subsection,subsubsection,faceValue,currency,numistaNumber,numistaLink,weight,references,matchConfidence,image1Url,image2Url,referenceImageUrl,secondarySection,secondarySubsection,source,verified
171,'14.12,British India Princely States,Western India States Agency,Kutch,1,Dokda,N32422,https://en.numista.com/catalogue/pieces32422.html,6.21,,,,,,,,,
172,'15.1,British India Princely States,Western India States Agency,Radhanpur,1,Paisa,N38973,https://en.numista.com/catalogue/pieces38973.html,9.81,,,,,,,,,
173,'15.2,British India Princely States,Western India States Agency,Lunavada,1/2,Paisa,N418592,https://en.numista.com/catalogue/pieces418592.html,4.66,,,,,,,,,
174,'15.3,British India Princely States,Madras States Agency,Travancore,2,Chuckram,N26607,https://en.numista.com/catalogue/pieces26607.html,0.76,,,,,,,,,
175,'15.4,British India Princely States,Western India States Agency,Nawanagar,1,Dokdo,N40318,https://en.numista.com/40318,7.99,,,,,,,,,
176,'15.5,European Overseas,Ceylon (Sri Lanka),,1/2,Cents,N12114,https://en.numista.com/12114,2.33,,,,,,,,,
177,'15.6,British India Princely States,Western India States Agency,Bhavnagar,1,Dokdo,N40209,https://en.numista.com/40209,7.85,,,,,,,,,
178,'15.7,British India Princely States,Hyderabad Residency,Hyderabad,1,Paisa,N50337,https://en.numista.com/50337,11.56,,,,,,,,,
179,'15.9,European Overseas,British Straits Settlements,,1,Cents,N5688,https://en.numista.com/5688,5.68,,,,,,,,,
180,'15.10,British India Princely States,Punjab States Agency,Bahawalpur,1/2,Pice,N18009,https://en.numista.com/18009,2.38,,,,,,,,,
181,'15.11,British India Princely States,Central India Agency,Dhar,1/2,Pice,N48448,https://en.numista.com/48448,2.7,,,,,,,,,
182,'15.12,British India Princely States,Western India States Agency,Cambay,1,Paisa,N22264,https://en.numista.com/22264,5.17,,,,,,,,,
183,'16.1,British India Princely States,Western India States Agency,Baroda,1,Pai,N27565,https://en.numista.com/27565,2.24,,,,,,,,,
184,'16.2,British India Princely States,Central India Agency,Banswara,1,Paisa,N514417,https://en.numista.com/514417,11.01,,,,,,,,,
185,'16.3,British India Princely States,Central India Agency,Pratapgarh,1,Paisa,N55878,https://en.numista.com/55878,7.67,,,,,,,,,
186,'16.4,British India Presidencies,Madras Presidency,,2,Fanam,N50412,https://en.numista.com/50412,1.87,,,,,,Tamil Kingdoms,Madras Presidency,,
187,'16.5,European Trading Companies,Danish East India Company,,4,Cash,N83527,https://en.numista.com/83527,2.44,,,,,,,,,
188,'16.6,European Trading Companies,Dutch East India Company,,1/4,Stuiver,N42173,https://en.numista.com/42173,1.86,,,,,,,,,
189,'16.7,British India Princely States,Central India Agency,Indore,1/4,Anna,N17562,https://en.numista.com/17562,6.29,,,,,,,,,
190,'16.8,British India Princely States,Rajputana Agency,Jaipur,1,Anna,N22262,https://en.numista.com/22262,3.83,,,,,,,,,
191,'16.9,Other,Delhi Sultanate,,2,Gani,N38433,https://en.numista.com/38433,3.32,,,,,,,,,
192,'16.10,British India Princely States,Rajputana Agency,Jodhpur,1/4,Anna,N42518,https://en.numista.com/42518,10.21,,,,,,,,,
193,'16.11,British India Princely States,Rajputana Agency,Jodhpur,1/4,Anna,N108239,https://en.numista.com/108239,10.38,,,,,,,,,
194,'16.12,British India Princely States,Rajputana Agency,Jodhpur,1/4,Anna,N352389,https://en.numista.com/352389,10.17,,,,,,,,,
195,'17.1,British India Princely States,Hyderabad Residency,Hyderabad,1,Paisa,N377998,https://en.numista.com/377998,9.84,,,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775023203725-IMG_2250.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775023204556-IMG_2248.jpeg,,,,,
196,'17.2,British India Presidencies,Madras Presidency,,2,Fanam,N75261,https://en.numista.com/75261,1.82,,,,,,Tamil Kingdoms,Madras Presidency,,
197,'17.3,British India Princely States,Madras States Agency,Cochin,2,Puttuns,N114353,https://en.numista.com/114353,1,,,,,,,,,
1770616232284,'17.4,British India Princely States,Central India Agency,Pratapgarh,1,Anna,N37124,https://en.numista.com/37124,7.58,,,,,,,,,
1770684896385,'17.5,Tamil Kingdoms,Madurai Pandya,,1,Kasu,Z347181,https://www.zeno.ru/showphoto.php?photo=347181,2.67,,High,,,,,,,
1770686692420,'17.6,Tamil Kingdoms,Madurai Nayak,Sri Vira Style,1,Kasu,N248341,https://en.numista.com/248341,1.11,Seated Narasimha,Medium,,,,,,,
1771378488997,'17.7,British India Princely States,Central India Agency,Dewas,1,Paisa,N164655,https://en.numista.com/164655,10.51,,,,,,,,,
1771991631048,'0.4,Other,China,,1,Cash,N20604,https://en.numista.com/20604,,,,,,,,,,
1772070817800,'17.8,British India Princely States,Madras States Agency,Cochin,1,Puttun,N48105,https://en.numista.com/48105,0.54,,,,,,,,,
1772074781168,'17.9,Tamil Kingdoms,Madurai Nayak,Sri Vira Style,1,kasu,N248341,https://en.numista.com/248341,0.58,Two Dieties,Medium,,,,,,,
1772312032212,'17.10,Other,Vijaynagara,,1,Kasu,N201244,https://en.numista.com/201244,3.3,,High,,,,,,,
1776318757830,'19.11,Tamil Kingdoms,Madurai Sultanate,,1,Kasu,N296047,https://en.numista.com/296047,2.83,[Discussion|https://en.numista.com/forum/topic175199.html#p1329904],High,,,,,,,
1776319746711,'17.11,Tamil Kingdoms,Madurai Pandya,,1,Kasu,N495791,https://en.numista.com/495791,,,High,,,,,,,
1776319793936,'17.12,British India Princely States,Mysore Residency,Mysore,1,Kasu,N88507,https://en.numista.com/88507,,,High,,,,,,,
1776319878306,'18.1,Tamil Kingdoms,Madurai Pandya,,1,Kasu,Z131028,https://www.zeno.ru/showphoto.php?photo=131028,,,High,,,,,,,
1776319915883,'18.2,Tamil Kingdoms,Madurai Pandya,,1,Kasu,N563721,https://en.numista.com/563721,,,High,,,,,,,
1776319998587,'18.3,Tamil Kingdoms,Madurai Pandya,,1,Kasu,N563721,https://en.numista.com/563721,,,High,,,,,,,
1776320047229,'18.4,British India Princely States,Madras States Agency,Travancore,1,Thirai Cash,N50995,https://en.numista.com/50995,0.86,[Discussion|https://en.numista.com/forum/topic174206.html#p1323384],High,,,,,,,
1776320215487,'18.5,Tamil Kingdoms,Madurai Nayak,Sri Vira Style,1,Kasu,N248341,https://en.numista.com/248341,,Two Dieties,Medium,,,,,,,
1776320255503,'18.6,Tamil Kingdoms,Madurai Nayak,Sri Vira Style,1,Kasu,N248341,https://en.numista.com/248341,,Two Dieties,Medium,,,,,,,
1776320325906,'18.7,Indeterminate,Likely Mysore,,1,Kasu,,,2.5,[Discussion | https://en.numista.com/forum/topic174284.html#p1323915],None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773372661534-Elephant.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773372662754-Obverse.jpg,,,,,
1776320393214,'18.8,British India Princely States,Rajputana Agency,Alwar,1,Takka,N448056,https://en.numista.com/448056,,,High,,,,,,,
1776320463690,'18.9,British India Princely States,Madras States Agency,Arcot,1,Kasu,N569409,https://en.numista.com/569409,1.1,[Discussion|https://en.numista.com/forum/topic175215.html#p1330013],High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832705055-IMG_2302.png,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832709775-IMG_2303.png,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832711278-1907237f-8020-4cdb-b97a-627f39c20871.jpeg,Tamil Kingdoms,Arcot,,
1776320488299,'18.10,Indeterminate,South Indian Lot,,1,Kasu,,,3.69,,None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773373397564-WhatsApp%20Image%202026-03-12%20at%205.18.23%20PM%20%284%29.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773373398082-WhatsApp%20Image%202026-03-12%20at%205.18.23%20PM%20%284%29%20copy.jpeg,,,,,
1776320516503,'18.11,Indeterminate,Likely Mysore,,1,Kasu,,,2.5,[Discussion | https://en.numista.com/forum/topic174284.html#p1323915],None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773711060708-WhatsApp%20Image%202026-03-16%20at%206.25.21%20PM.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1773711061748-WhatsApp%20Image%202026-03-16%20at%206.25.21%20PM%20%281%29.jpeg,,,,,
1776320579836,'18.12,Tamil Kingdoms,Madurai Nayak,,1,Kasu,N566404,https://en.numista.com/566404,2.76,[Discussion | https://en.numista.com/forum/topic174858.html],High,,,,,,,
1776320648284,'19.1,British India Princely States,Central India Agency,Bhopal,1,Pie,N94996,https://en.numista.com/94996,,,High,,,,,,,
1776320723895,'19.2,British India Princely States,United Provinces of Awadh and Agra,Awadh,1/2,Falus,N566682,https://en.numista.com/566682,,,High,,,,,,,
1776320776440,'19.3,British India Presidencies,Bombay Presidency,,1,Copperoon,N83460,https://en.numista.com/83460,,,High,,,,,,,
1776320807980,'19.4,British India Presidencies,Bengal Presidency,,1/4,Rupee,N31775,https://en.numista.com/31775,,,High,,,,,,,
1776320888558,'19.5,Indeterminate,South Indian Lot,,1,Kasu,,,,,None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774484852608-IMG_2174.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774484854059-IMG_2175.jpeg,,,,,
1776321007183,'19.7,Indeterminate,South Indian Lot,,1,Kasu,,,,,None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485096072-IMG_2178.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485097293-IMG_2179.jpeg,,,,,
1776321178391,'19.8,Tamil Kingdoms,Madurai Nayak,,1,Kasu,N248341,https://en.numista.com/248341,,,Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485151090-IMG_2180.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485152462-IMG_2181.jpeg,,,,,
1776321214041,'19.9,Indeterminate,South Indian Lot,,1,Kasu,,,,,None,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485226017-IMG_2183.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485224377-IMG_2182.jpeg,,,,,
1776321253777,'19.10,Tamil Kingdoms,Madurai Nayak,Sri Vira Style,1,Kasu,N248341,https://en.numista.com/248341,,Unknown,Medium,,,,,,,
1776321349049,'19.6,Tamil Kingdoms,Madurai Pandya,,1,Kasu,Z347181,https://www.zeno.ru/showphoto.php?photo=347181,,,Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485052313-IMG_2176.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1774485053640-IMG_2177.jpeg,,,,,
1776383427898,'20.12,Tamil Kingdoms,Thanjavur Nayak,,1,Kasu,Z377545,https://www.zeno.ru/showphoto.php?photo=377545,3.23,,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775089770356-Screenshot%202026-04-01%20at%205.16.16%E2%80%AFPM.png,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776386747149-1625ca50-a7c2-4208-a40a-0bd9f5d66a80.jpeg,,,,,
1776383673109,'In Transit,Tamil Kingdoms,Thanjavur Nayak,,1,Kasu,Z362605,https://www.zeno.ru/showphoto.php?photo=362605,,,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775094776901-obverse.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775094777822-reverse.jpeg,,,,,
1776383839037,'In Transit,Tamil Kingdoms,Gingee Nayak,,1,Kasu,N161601,https://en.numista.com/161601,,,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775178255675-obv.png,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775178256467-rev.png,,,,,
1776384107197,'In Transit,Tamil Kingdoms,Madurai Nayak,,1,Kasu,N336536,https://en.numista.com/336536,,[Zeno Example | https://www.zeno.ru/showphoto.php?photo=218112&cat=19827&ppuser=&sortby=d&way=desc],High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775188592378-Screenshot%202026-04-02%20at%204.14.53%E2%80%AFPM.png,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775188593110-Screenshot%202026-04-02%20at%204.15.07%E2%80%AFPM.png,,,,,
1776384429738,'30.3,British India Princely States,Madras States Agency,Arcot,1,Kasu,Z371664,https://www.zeno.ru/showphoto.php?photo=371664,3.33,"[Example | https://www.zeno.ru/showphoto.php?photo=61514] [Discussion | https://www.worldofcoins.eu/forum/index.php/topic,61323.msg387727.htm]",High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775490386244-obverse.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775490387558-reverse.jpeg,,Tamil Kingdoms,Arcot,,
1776384600903,'In Transit,Tamil Kingdoms,Madurai Nayak,,1,Kasu,N248341,https://en.numista.com/248341,,Peacock,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775610699170-94cf6d9f-f87d-474f-a7a6-fcf80517855c.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1775610700053-3a1e6222-2e19-4711-b04b-85c8218377b2.jpeg,,,,,
1776384862284,'In Transit,Tamil Kingdoms,Kongu Chera,,1,Kasu,N65531,https://en.numista.com/65531,,[Close match |https://www.bombayauctions.com/viewlot.aspx?itemid=20030&auctionid=1027&lotno=114],High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776215574504-46ead8a8-8622-4eb5-9478-72e70084e7b9.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776215573776-407be0cd-eddc-4d73-a9c7-ae4eee87b00b.jpeg,,,,,
1776391233604,'20.1,British India Princely States,Central India Agency,Makrai,1,Paisa,,,10.99,[Tezbid | https://www.tezbid.com/products/1-paisa-makrai-state]. Not on Zeno or Numista,Medium,,,,,,,
1776391346525,'20.3,British India Princely States,Central India Agency,Sitamau,1/2,Paisa,N90165,https://en.numista.com/90165,4.40,[Tezbid|https://www.tezbid.com/products/half-paisa-sitamau],High,,,,,,,
1776391411175,'20.2,British India Princely States,Western India States Agency,Porbandhar,1,Dokdo,N92600,https://en.numista.com/92600,7.63,[Tezbid|https://www.tezbid.com/products/1-dokdo-porbandar-1800-1890?utm_source=chatgpt.com],High,,,,,,,
1776391546555,'In Transit,British India Princely States,Rajputana Agency,Jhalawar,2,Paisa,N82477,https://en.numista.com/82477,,[KB Coins | https://www.kbcoins.in/product/jhalawar-2-paisa-vs-1915-1-28-19-gms-dump-copper-coin-j6/],High,,,,,,,
1776391669418,'In Transit,British India Princely States,Rajputana Agency,Bharatpur,1,Takka,N563487,https://en.numista.com/563487,,[KB Coins | https://www.kbcoins.in/product/bharatpur-state-takka-ranjith-singh-1762-1814-copper-coin-b1/],High,,,,,,,
1776392386316,'30.1,Tamil Kingdoms,Madurai Nayak,,1,Kasu,Z344523,https://www.zeno.ru/showphoto.php?photo=344523,1.73,[Laksmi Seated | https://www.zeno.ru/showphoto.php?photo=344523] [Script match | https://www.zeno.ru/showphoto.php?photo=98384],High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776392438605-ab012db6-5594-4b95-9374-6bd9c709340c.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776392439333-3817138e-ee5d-481f-ad20-2fbfa33ed2ed.jpeg,,,,,
1776827725349,'In Transit,British India Presidencies,Madras Presidency,Trichinopoly Kasu,1,Cash,,,,[Match | https://www.instagram.com/p/DU0uGGbE_nG/?hl=ru] No Zeno,Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776827773699-9b14eb8f-456d-47f4-8064-9c380bd6d2e9.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776827774975-d1161f46-91b5-4ce9-b5f2-7f43a32d67ed.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832403497-Gemini_Generated_Image_73in0f73in0f73in.png,,,,
1776831066296,'30.2,Tamil Kingdoms,Sivagangai,,2,Kasu,,,3.3,[Match | https://anythinganywhere.com/commerce/coins/coinpics/indi-sivaganga-nl-2.jpg],Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832521843-f835ce0c-2a90-441a-8e36-990cb919a7a5.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832522863-e22eaa2a-d6a7-4c77-aae0-7406a683771e.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1776832484508-indi-sivaganga-nl-2.jpg,,,,
1777232173292,'20.10,British India Princely States,Madras States Agency,Arcot,1,Kasu,Z377006,https://www.zeno.ru/showphoto.php?photo=377006,2.18,Issued by Mahfuz Khan after 2nd Carnatic War when he was in Trichy Rockfort and Madurai region,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232173871-obv2.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232174257-rev2.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232174720-ref2.jpeg,Tamil Kingdoms,Arcot,,
1777232330652,'20.6,British India Princely States,Madras States Agency,Arcot,1,Kasu,Z190717,https://www.zeno.ru/showphoto.php?photo=190717,1.95,[Discussion | https://ramindianhistoryessays.blogspot.com/2026/06/na-for-nawab-na-for-nayana.html],High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232331137-obv3.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232331558-rev3.jpeg,,Tamil Kingdoms,Arcot,,
1777232945014,'20.5,Tamil Kingdoms,Gingee Marathas,,1,Kasu,Z343914,https://www.zeno.ru/showphoto.php?photo=343914,2.7,Reverse match. Gingee was the capital of Maratha briefly. [Mitchner classifies these as Vijaynagar | https://thehobbyofkings.blogspot.com/2015/10/coins-with-legend-rama-rama-and-rama.html] Weight also is a match,High,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232945655-obv.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1777232946448-rev.jpeg,,,,,
1779160155990,'20.7,European Trading Companies,French India,,1,Doudou,N22017,https://en.numista.com/22017,4.01,[Source | https://www.coinsstuff.com/product/indo-french-1-doudou-coin-rooster-variety/] Possibly counterfeit since the source had many such coins,High,,,,,,,
1779160854836,'In Transit,British India Princely States,Rajputana Agency,Karauli,1,Takka,N150936,https://en.numista.com/150936,,[Source | https://www.coinsstuff.com/product/princely-state-of-karauli-copper-takka-of-muhammad-akbar-ii/],Medium,,,,,,,
1779161416459,'20.11,Other,Maratha,,1,Paisa,,,9.01,[Source | https://www.coinsstuff.com/product/maratha-empire-trishul-1-paisa/] [Only other | https://www.forumancientcoins.com/gallery/displayimage.php?pid=139999&srsltid=AfmBOop4iCqa0iqC6H5l5_4TuBYgrOBx16CyjTkhOpJxpCLvQE11Ade0],Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1784681388940-1000088718.jpg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1784681391001-1000088719.jpg,,,,,
1779161645038,'19.12,Other,Sri Lanka,Polonnaruwa,1,Massa,N10554,https://en.numista.com/10554,4.28,[Source | https://www.coinsstuff.com/product/chola-dynasty-king-sahasamalla/].  Weight does not match but other coins from Polunwara are 4.8. Chance of counterfeit,High,,,,,,,
1781398134905,'20.9,British India Presidencies,Madras Presidency,Contemporary Local Issue,1,Kasu,,,2.42,Two interlocked C's on reverse like [Fanam | https://en.numista.com/437857]. [Other example of contemporary local issue | https://marudhararts.com/printed-auction/auction-no-40/lot-no-397/coins-of-india/presidencies-of-india/madras-presidency/i-cash/unlisted-contemporary-local-issue-copper-cash-coin-hanuman-type-of-madras-presidency-.html],Low,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1781398135945-D1.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1781398136664-D2.jpeg,,Tamil Kingdoms,Madras Presidency,,
1781398607378,'20.8,British India Princely States,Madras States Agency,Arcot,1,Kasu,Z376357,https://www.zeno.ru/showphoto.php?photo=376357,1.51,"Reverse matches the reference coin. It says ""Asu Naba"". The Naba definitely refers to ""Nawab"". ""Asu"" could be Yusuf Khan aka Marudhnayam according to [this | https://www.facebook.com/manikandan.prabhu.56/posts/pfbid0ehREyBrVeEEsb9ctPbkEkgC3v7t5Tb2PPbyg24CE2fvqogGQFRrUCcKkcJCLY6ql].  There is also a full discussion on coins with AsuNaba in the [monogram on Arcot coins | https://govtmuseumchennai.org/uploads/topics/16527873255719.pdf]. Weight does not match though",Medium,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1781398608488-C1.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1781398609608-C2.jpeg,https://14w4w8zum2rgokdb.public.blob.vercel-storage.com/coins/1781399493980-Screenshot%202026-06-13%20at%206.11.18%E2%80%AFPM.png,Tamil Kingdoms,Arcot,,
